[MLP]   svm_data_20260507_133636.csv                       24741샘플
[MLP] CSV 로드  →  총 24741샘플
[MLP] 로드 완료 | 전체: 24741개  (배경: 12371, 사람: 12370)
[MLP] 특징 모드: ESP32 (21개)
[MLP] 학습: 19792개 (80%)  검증: 4949개 (20%)  [비율고정: 유지 | 분리시드: 42]
[MLP] 스케일러: StandardScaler (z-score)
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
[MLP]  디바이스: cuda (NVIDIA GeForce GTX 1660 SUPER)
[MLP]  구조: 21 → 256 → 128 → 64 → 32 → 2
[MLP]  에폭: 4000  배치: 64  LR: 1.00e-04  Dropout: 0.3
[MLP]  Early Stop: 비활성화
[MLP]  LR 스케줄러: patience=150  factor=0.8  min_lr=1e-6
[MLP]  검증 비율: 20%  분리 비율고정: 유지  분리 시드: 42
[MLP]  스케일러: StandardScaler  특징 모드: ESP32
[MLP]  사용 특징 (21개): SPECTRAL_ROLLOFF, SPECTRAL_BANDWIDTH, PEAK_COUNT, MID_RATIO, LOW_TO_HIGH_RATIO, SECOND_PEAK_FREQ, KURTOSIS, CENTROID, PEAK_FREQ, LOW_RATIO, RMS, AVG_ENERGY, PEAK_ENERGY, ENERGY_VARIANCE, PEAK_TO_AVG_E, HIGH_RATIO, PEAK1_TO_PEAK2_RATIO, SKEWNESS, DC_RATIO, DELTA_PEAK_FREQ, SPECTRAL_FLATNESS
[MLP] ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  에폭  95/4000 | 손실: 0.4766 | 검증손실: 0.4708 | 학습: 79.6% | 검증: 76.5% | lr: 1.00e-04 | 1.5s ★
  에폭  96/4000 | 손실: 0.4741 | 검증손실: 0.4770 | 학습: 79.8% | 검증: 76.1% | lr: 1.00e-04 | 1.6s
  에폭  97/4000 | 손실: 0.4734 | 검증손실: 0.4669 | 학습: 80.7% | 검증: 77.0% | lr: 1.00e-04 | 1.6s ★
  에폭  98/4000 | 손실: 0.4731 | 검증손실: 0.4671 | 학습: 80.4% | 검증: 76.4% | lr: 1.00e-04 | 1.5s
  에폭  99/4000 | 손실: 0.4728 | 검증손실: 0.4733 | 학습: 80.5% | 검증: 76.1% | lr: 1.00e-04 | 1.5s
  에폭 100/4000 | 손실: 0.4706 | 검증손실: 0.4713 | 학습: 80.8% | 검증: 76.2% | lr: 1.00e-04 | 1.5s
  에폭 101/4000 | 손실: 0.4704 | 검증손실: 0.4615 | 학습: 81.0% | 검증: 76.9% | lr: 1.00e-04 | 1.6s
  에폭 102/4000 | 손실: 0.4683 | 검증손실: 0.4627 | 학습: 81.1% | 검증: 76.9% | lr: 1.00e-04 | 1.7s
  에폭 103/4000 | 손실: 0.4692 | 검증손실: 0.4620 | 학습: 81.1% | 검증: 76.7% | lr: 1.00e-04 | 1.7s
  에폭 104/4000 | 손실: 0.4669 | 검증손실: 0.4637 | 학습: 81.3% | 검증: 77.3% | lr: 1.00e-04 | 1.9s ★
  에폭 105/4000 | 손실: 0.4659 | 검증손실: 0.4656 | 학습: 81.4% | 검증: 77.3% | lr: 1.00e-04 | 1.7s ★
  에폭 106/4000 | 손실: 0.4677 | 검증손실: 0.4594 | 학습: 81.6% | 검증: 77.7% | lr: 1.00e-04 | 1.6s ★
  에폭 107/4000 | 손실: 0.4633 | 검증손실: 0.4598 | 학습: 80.6% | 검증: 76.7% | lr: 1.00e-04 | 1.6s
  에폭 108/4000 | 손실: 0.4674 | 검증손실: 0.4627 | 학습: 80.4% | 검증: 76.6% | lr: 1.00e-04 | 1.8s
  에폭 109/4000 | 손실: 0.4646 | 검증손실: 0.4601 | 학습: 81.6% | 검증: 77.1% | lr: 1.00e-04 | 2.2s
  에폭 110/4000 | 손실: 0.4648 | 검증손실: 0.4569 | 학습: 81.5% | 검증: 77.5% | lr: 1.00e-04 | 1.9s
  에폭 111/4000 | 손실: 0.4682 | 검증손실: 0.4629 | 학습: 80.9% | 검증: 76.6% | lr: 1.00e-04 | 1.7s
  에폭 112/4000 | 손실: 0.4606 | 검증손실: 0.4553 | 학습: 82.1% | 검증: 77.6% | lr: 1.00e-04 | 1.6s
  에폭 113/4000 | 손실: 0.4593 | 검증손실: 0.4600 | 학습: 81.7% | 검증: 77.5% | lr: 1.00e-04 | 1.6s
  에폭 114/4000 | 손실: 0.4577 | 검증손실: 0.4559 | 학습: 82.2% | 검증: 78.0% | lr: 1.00e-04 | 1.7s ★
  에폭 115/4000 | 손실: 0.4587 | 검증손실: 0.4535 | 학습: 82.3% | 검증: 77.6% | lr: 1.00e-04 | 1.7s
  에폭 116/4000 | 손실: 0.4603 | 검증손실: 0.4524 | 학습: 82.1% | 검증: 77.8% | lr: 1.00e-04 | 1.7s
  에폭 117/4000 | 손실: 0.4569 | 검증손실: 0.4532 | 학습: 82.6% | 검증: 77.9% | lr: 1.00e-04 | 1.7s
  에폭 118/4000 | 손실: 0.4560 | 검증손실: 0.4545 | 학습: 82.2% | 검증: 78.0% | lr: 1.00e-04 | 1.7s
  에폭 119/4000 | 손실: 0.4539 | 검증손실: 0.4499 | 학습: 82.8% | 검증: 78.2% | lr: 1.00e-04 | 1.7s ★
  에폭 120/4000 | 손실: 0.4542 | 검증손실: 0.4481 | 학습: 82.8% | 검증: 78.4% | lr: 1.00e-04 | 1.7s ★
  에폭 121/4000 | 손실: 0.4524 | 검증손실: 0.4497 | 학습: 82.5% | 검증: 78.2% | lr: 1.00e-04 | 1.7s
  에폭 122/4000 | 손실: 0.4550 | 검증손실: 0.4423 | 학습: 82.6% | 검증: 78.2% | lr: 1.00e-04 | 1.7s
  에폭 123/4000 | 손실: 0.4505 | 검증손실: 0.4486 | 학습: 82.2% | 검증: 77.8% | lr: 1.00e-04 | 1.6s
  에폭 124/4000 | 손실: 0.4500 | 검증손실: 0.4459 | 학습: 82.5% | 검증: 78.3% | lr: 1.00e-04 | 1.7s
  에폭 125/4000 | 손실: 0.4505 | 검증손실: 0.4473 | 학습: 82.0% | 검증: 77.6% | lr: 1.00e-04 | 1.7s
